c1,c2
5.185334396362304688e+01,-2.530220413208007812e+01
3.350697708129882812e+01,-1.068306064605712891e+01
3.535486602783203125e+01,-1.332601451873779297e+01
4.477275085449218750e+01,6.023414611816406250e+00
3.317827606201171875e+01,-6.739715099334716797e+00
3.257264709472656250e+01,-3.733988189697265625e+01
3.293421173095703125e+01,-9.031765937805175781e+00
1.730284118652343750e+01,5.193832874298095703e+00
2.819483947753906250e+01,-3.407307434082031250e+01
3.750594711303710938e+01,-1.513205718994140625e+01
1.909416961669921875e+01,1.334103226661682129e+00
2.068224334716796875e+01,3.860063314437866211e+00
3.898763275146484375e+01,1.040092372894287109e+01
1.943552398681640625e+01,2.195632219314575195e+00
3.533811187744140625e+01,-6.910353183746337891e+00
3.467490005493164062e+01,-1.170906066894531250e+01
1.724377441406250000e+01,1.533823847770690918e+00
1.947354507446289062e+01,3.444797277450561523e+00
3.296415328979492188e+01,-6.161613941192626953e+00
3.229579544067382812e+01,-1.554868412017822266e+01
3.347293090820312500e+01,-1.868966293334960938e+01
3.794669342041015625e+01,-1.535784626007080078e+01
-1.348315119743347168e+00,3.257823562622070312e+01
-1.556677699089050293e+00,-6.254197597503662109e+00
3.304821777343750000e+01,-1.131145095825195312e+01
3.476703262329101562e+01,-8.827037811279296875e+00
3.535571289062500000e+01,-6.808259963989257812e+00
1.762688827514648438e+01,2.306303501129150391e+00
3.403420639038085938e+01,-6.964185237884521484e+00
3.528460311889648438e+01,-1.330638504028320312e+01
3.120220565795898438e+01,-8.828922271728515625e+00
3.438228988647460938e+01,-1.149513626098632812e+01
3.320204925537109375e+01,-1.016761302947998047e+01
3.260002517700195312e+01,-1.149787044525146484e+01
3.364886093139648438e+01,-1.537508296966552734e+01
5.168787765502929688e+01,-3.948291301727294922e+00
1.921509552001953125e+01,2.058758974075317383e+00
3.688797760009765625e+01,-1.449585533142089844e+01
3.303292465209960938e+01,-8.890211105346679688e+00
3.589161300659179688e+01,-1.189379119873046875e+01
