c1,c2
2.844359970092773438e+01,1.900166893005371094e+01
3.635511016845703125e+01,1.144470310211181641e+01
3.537623596191406250e+01,1.088608169555664062e+01
3.572057723999023438e+01,1.136512947082519531e+01
5.841590404510498047e+00,-3.117441368103027344e+01
2.924456214904785156e+01,1.857231330871582031e+01
3.026512718200683594e+01,1.298409938812255859e+01
3.003920936584472656e+01,1.526783370971679688e+01
5.590808868408203125e+01,1.654991507530212402e+00
3.876921844482421875e+01,6.551907062530517578e+00
2.314970207214355469e+01,2.803964614868164062e+01
3.558755493164062500e+01,1.101957321166992188e+01
-7.493637800216674805e-01,-3.333660888671875000e+01
2.697465896606445312e+01,1.638961029052734375e+01
-3.759297180175781250e+01,-2.175093650817871094e+01
2.927190780639648438e+01,1.742237854003906250e+01
4.037269592285156250e+01,3.491724777221679688e+01
3.474140548706054688e+01,1.275931358337402344e+01
2.378564834594726562e+01,1.754372978210449219e+01
3.005195617675781250e+01,1.633300590515136719e+01
3.093655014038085938e+01,1.756237602233886719e+01
2.788908386230468750e+01,1.348618412017822266e+01
2.812290954589843750e+01,1.740473175048828125e+01
2.932677459716796875e+01,1.732682418823242188e+01
2.721823883056640625e+01,1.800802040100097656e+01
4.064933013916015625e+01,6.000307083129882812e+00
5.317873001098632812e+01,4.950032532215118408e-01
2.550997352600097656e+01,1.741888046264648438e+01
2.923331069946289062e+01,1.724876976013183594e+01
2.764956665039062500e+01,2.284575462341308594e+01
-2.871338844299316406e+01,-2.473482513427734375e+01
2.960757446289062500e+01,1.776395225524902344e+01
5.553368759155273438e+01,1.670923233032226562e+00
5.593581008911132812e+01,1.660681962966918945e+00
3.289614868164062500e+01,1.250156879425048828e+01
3.571458053588867188e+01,1.133437824249267578e+01
2.310879898071289062e+01,2.800296974182128906e+01
2.970372962951660156e+01,1.919818878173828125e+01
4.439487457275390625e+01,-7.719846248626708984e+00
3.113775062561035156e+01,1.383453750610351562e+01
1.135255241394042969e+01,1.499130439758300781e+01
3.398545074462890625e+01,1.741640853881835938e+01
3.830236053466796875e+01,1.123706054687500000e+01
2.889588165283203125e+01,1.794153404235839844e+01
2.417102622985839844e+01,1.999273490905761719e+01
2.241802597045898438e+01,2.848213577270507812e+01
2.696718215942382812e+01,1.787561416625976562e+01
3.187785530090332031e+01,1.738822937011718750e+01
3.470501708984375000e+01,1.293314552307128906e+01
2.638283348083496094e+01,1.976901626586914062e+01
2.511250686645507812e+01,1.733458518981933594e+01
2.872670745849609375e+01,1.853862762451171875e+01
3.429748916625976562e+01,1.255398654937744141e+01
3.728974914550781250e+01,5.190457820892333984e+00
3.891815567016601562e+01,1.064173793792724609e+01
6.921828746795654297e+00,-2.607352447509765625e+01
3.751252651214599609e+00,-2.815004110336303711e+00
3.302516174316406250e+01,1.132383728027343750e+01
3.025194740295410156e+01,1.678759002685546875e+01
3.205327987670898438e+01,1.744025421142578125e+01
2.686892509460449219e+01,1.941579246520996094e+01
2.889366722106933594e+01,1.732104682922363281e+01
3.577873992919921875e+01,1.111782836914062500e+01
3.026157951354980469e+01,1.266711616516113281e+01
3.402895736694335938e+01,1.262774181365966797e+01
3.284149932861328125e+01,1.404418182373046875e+01
3.519429397583007812e+01,1.369271278381347656e+01
3.570331192016601562e+01,6.524467468261718750e+00
4.492140960693359375e+01,2.125073623657226562e+01
2.807574081420898438e+01,1.757820892333984375e+01
3.708675003051757812e+01,1.142163181304931641e+01
2.911142921447753906e+01,1.586931419372558594e+01
3.580142211914062500e+01,1.264051914215087891e+01
-2.919980812072753906e+01,-2.707659721374511719e+01
3.357496643066406250e+01,1.108246898651123047e+01
3.548150253295898438e+01,-3.455913543701171875e+00
-3.932412719726562500e+01,-2.400556945800781250e+01
-3.766617584228515625e+01,-1.775730323791503906e+01
2.373517990112304688e+01,1.762538146972656250e+01
3.854299545288085938e+01,6.889312744140625000e+00
3.602859497070312500e+01,1.326421737670898438e+01
2.927879524230957031e+01,9.437391281127929688e+00
3.111192893981933594e+01,1.316387653350830078e+01
2.699043846130371094e+01,1.777583885192871094e+01
2.981255912780761719e+01,1.189349937438964844e+01
-3.657184982299804688e+01,-2.128236770629882812e+01
-3.626141357421875000e+01,-2.000344657897949219e+01
5.592559432983398438e+01,1.614667773246765137e+00
2.687749290466308594e+01,1.774241447448730469e+01
5.593113708496093750e+01,1.724157214164733887e+00
3.742276763916015625e+01,-3.624564170837402344e+00
3.366730499267578125e+01,1.353241252899169922e+01
3.024466896057128906e+01,1.227351760864257812e+01
3.411603164672851562e+01,1.207333087921142578e+01
2.885818290710449219e+01,1.794627380371093750e+01
2.702409362792968750e+01,1.701304626464843750e+01
3.833612060546875000e+01,1.164575862884521484e+01
3.280410766601562500e+01,1.341449546813964844e+01
2.651067924499511719e+01,1.889802169799804688e+01
4.590377044677734375e+01,2.427143669128417969e+01
2.911322593688964844e+01,1.848997116088867188e+01
3.437155532836914062e+01,1.264186096191406250e+01
-2.784973716735839844e+01,-2.570740890502929688e+01
